2,prueba,123123123,prueba,12312314,ijg@gmail.com,prueba,"","","",""
3,prueba,1234567899,prueba,123456,ijg@gmail.com,prueba,"","","",""
4,manejo,1234567,prueba,1234567890,ijg@gmail.com,prueba,"","","",""
5,manejo,1234567,prueba,1234567890,ijg@gmail.com,prueba,"","","",""
6,manejo,1234567,prueba,1234567890,ijg@gmail.com,prueba,"","","",""
7,manejo,1234567,prueba,1234567890,ijg@gmail.com,prueba,"","","",""
8,manejo,1234567,prueba,1234567890,ijg@gmail.com,prueba,"","","",""
9,manejo,1234567,prueba,1234567890,ijg@gmail.com,prueba,"","","",""
11,pensar,3108635647,panaderia,54326789,alex@gmail.com,educador,pedro,"","",pueblo
12,pensar,3108635647,panaderia,54326789,alex@gmail.com,educador,pedro,"","",pueblo
13,posibilidad,556789,prueba,12345,alex@gmail.com,sadsdfsdf,maria fernada cabal,"","",asdsdf
14,posibilidad,556789,prueba,12345,alex@gmail.com,sadsdfsdf,maria fernada cabal,"","",asdsdf
15,captar,12345678,panaderia,12344556,juan@gmail.com,educador,maria fernada cbello,"","",dfghjkl
16,"idear
",09876543,panaderia,9876543,marlon@gmail.con,educador,marlon,"","",asdfgh
17,"idear
",09876543,panaderia,9876543,marlon@gmail.con,educador,marlon,"","",asdfgh
18,"idear
",09876543,panaderia,9876543,marlon@gmail.con,educador,marlon,9,17,asdfgh
19,prueba2000,234567,prueba,123456,alex@gmail.com,educador,prueba2000,1,16,sdfghhrdfghj
